id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket
"3049-N-125-E,-Cedar-City,-UT-84721","3049 N 125 E, Cedar City, UT 84721",3049 N 125 E,,Cedar City,UT,84721,Iron,37.732519,-113.059832,Townhouse,3.0,2.5,1420.0,1307.0,2024.0,Inactive,285000,2024-03-12T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-13T00:00:00.000Z,2024-05-08T00:00:00.000Z,58
"14582-S-Quiet-Shade-Dr,-Herriman,-UT-84096","14582 S Quiet Shade Dr, Herriman, UT 84096",14582 S Quiet Shade Dr,,Herriman,UT,84096,Salt Lake,40.486365,-111.994324,Townhouse,3.0,2.5,2242.0,1307.0,2018.0,Inactive,468500,2024-03-13T00:00:00.000Z,2024-05-09T00:00:00.000Z,2023-10-27T00:00:00.000Z,2024-05-08T00:00:00.000Z,57
"6777-S-Cyclamen-Dr-W,-West-Jordan,-UT-84081","6777 S Cyclamen Dr W, West Jordan, UT 84081",6777 S Cyclamen Dr W,,West Jordan,UT,84081,Salt Lake,40.628178,-112.02027,Single Family,4.0,1.5,1384.0,5227.0,1988.0,Inactive,499999,2024-03-15T00:00:00.000Z,2024-05-09T00:00:00.000Z,2021-05-12T09:50:44.544Z,2024-05-08T00:00:00.000Z,55
"1330-E-Hansen-Hollow-Pl,-Salt-Lake-City,-UT-84124","1330 E Hansen Hollow Pl, Salt Lake City, UT 84124",1330 E Hansen Hollow Pl,,Salt Lake City,UT,84124,Salt Lake,40.682831,-111.852888,Single Family,5.0,2.5,3113.0,10454.0,1992.0,Inactive,700000,2024-03-15T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-16T00:00:00.000Z,2024-05-08T00:00:00.000Z,55
"1680-26th-St,-Ogden,-UT-84401","1680 26th St, Ogden, UT 84401",1680 26th St,,Ogden,UT,84401,Weber,41.21864,-111.93516,Single Family,3.0,1.0,2180.0,7405.0,1950.0,Inactive,525000,2024-03-18T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-19T00:00:00.000Z,2024-05-08T00:00:00.000Z,52
"1297-S-Alpine-Way,-Provo,-UT-84606","1297 S Alpine Way, Provo, UT 84606",1297 S Alpine Way,,Provo,UT,84606,Utah,40.216922,-111.627201,Townhouse,2.0,2.5,1759.0,1307.0,2000.0,Inactive,399999,2024-03-19T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-20T00:00:00.000Z,2024-05-08T00:00:00.000Z,51
"3166-S-8400-W,-Magna,-UT-84044","3166 S 8400 W, Magna, UT 84044",3166 S 8400 W,,Magna,UT,84044,Salt Lake,40.702545,-112.092178,Single Family,4.0,1.0,2052.0,8276.0,1955.0,Inactive,445000,2024-03-21T00:00:00.000Z,2024-05-09T00:00:00.000Z,2020-10-07T11:03:39.860Z,2024-05-08T00:00:00.000Z,49
"Copy-Of-350-W-Old-Hwy,-91-Unit-50,-Ivins,-UT-84738","Copy Of 350 W Old Hwy, 91 Unit 50, Ivins, UT 84738",Copy Of 350 W Old Hwy,91 Unit 50,Ivins,UT,84738,Washington,37.154976,-113.6879755,Condo,3.0,2.5,1606.0,,,Inactive,399990,2024-03-21T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-02-01T00:00:00.000Z,2024-05-08T00:00:00.000Z,49
"1527-N-230-W,-Orem,-UT-84057","1527 N 230 W, Orem, UT 84057",1527 N 230 W,,Orem,UT,84057,Utah,40.325247,-111.701908,Single Family,5.0,3.5,2992.0,9148.0,1990.0,Inactive,585000,2024-03-22T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-23T00:00:00.000Z,2024-05-08T00:00:00.000Z,48
"1158-N-Wasatch-Dr-E,-Logan,-UT-84341","1158 N Wasatch Dr E, Logan, UT 84341",1158 N Wasatch Dr E,,Logan,UT,84341,Cache,41.752584,-111.825043,Single Family,5.0,1.5,2244.0,6534.0,1977.0,Inactive,419900,2024-03-22T00:00:00.000Z,2024-05-09T00:00:00.000Z,2024-03-23T00:00:00.000Z,2024-05-08T00:00:00.000Z,48
